Fecha,Area_Sanitaria,Grupo_Edad,Fallecidos,Porcentaje
"2020-10-14","A.S. VIGO","80-89","59","42,75%"
"2020-10-14","A.S. VIGO",">=90","44","31,88%"
"2020-10-15","GALICIA","0-9","0","0%"
"2020-10-15","GALICIA","10-19","0","0%"
"2020-10-15","GALICIA","20-29","0","0%"
"2020-10-15","GALICIA","30-39","2","0,25%"
"2020-10-15","GALICIA","40-49","2","0,25%"
"2020-10-15","GALICIA","50-59","25","3,09%"
"2020-10-15","GALICIA","60-69","50","6,19%"
"2020-10-15","GALICIA","70-79","149","18,44%"
"2020-10-15","GALICIA","80-89","365","45,17%"
"2020-10-15","GALICIA",">=90","215","26,61%"
"2020-10-15","A.S. A CORUÑA E CEE","0-9","0","0%"
"2020-10-15","A.S. A CORUÑA E CEE","10-19","0","0%"
"2020-10-15","A.S. A CORUÑA E CEE","20-29","0","0%"
"2020-10-15","A.S. A CORUÑA E CEE","30-39","1","0,47%"
"2020-10-15","A.S. A CORUÑA E CEE","40-49","1","0,47%"
"2020-10-15","A.S. A CORUÑA E CEE","50-59","7","3,29%"
"2020-10-15","A.S. A CORUÑA E CEE","60-69","17","7,98%"
"2020-10-15","A.S. A CORUÑA E CEE","70-79","47","22,07%"
"2020-10-15","A.S. A CORUÑA E CEE","80-89","88","41,31%"
"2020-10-15","A.S. A CORUÑA E CEE",">=90","52","24,41%"
"2020-10-15","A.S. FERROL","0-9","0","0%"
"2020-10-15","A.S. FERROL","10-19","0","0%"
"2020-10-15","A.S. FERROL","20-29","0","0%"
"2020-10-15","A.S. FERROL","30-39","0","0%"
"2020-10-15","A.S. FERROL","40-49","0","0%"
"2020-10-15","A.S. FERROL","50-59","0","0%"
"2020-10-15","A.S. FERROL","60-69","3","8,82%"
"2020-10-15","A.S. FERROL","70-79","10","29,41%"
"2020-10-15","A.S. FERROL","80-89","14","41,18%"
"2020-10-15","A.S. FERROL",">=90","7","20,59%"
"2020-10-15","A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"2020-10-15","A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"2020-10-15","A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"2020-10-15","A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"2020-10-15","A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"2020-10-15","A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","1,09%"
"2020-10-15","A.S. LUGO, A MARIÑA E MONFORTE","60-69","6","6,52%"
"2020-10-15","A.S. LUGO, A MARIÑA E MONFORTE","70-79","16","17,39%"
"2020-10-15","A.S. LUGO, A MARIÑA E MONFORTE","80-89","43","46,74%"
"2020-10-15","A.S. LUGO, A MARIÑA E MONFORTE",">=90","26","28,26%"
"2020-10-15","A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"2020-10-15","A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"2020-10-15","A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"2020-10-15","A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"2020-10-15","A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"2020-10-15","A.S. OURENSE, VERÍN E O BARCO","50-59","6","3,28%"
"2020-10-15","A.S. OURENSE, VERÍN E O BARCO","60-69","7","3,83%"
"2020-10-15","A.S. OURENSE, VERÍN E O BARCO","70-79","24","13,11%"
"2020-10-15","A.S. OURENSE, VERÍN E O BARCO","80-89","87","47,54%"
"2020-10-15","A.S. OURENSE, VERÍN E O BARCO",">=90","59","32,24%"
"2020-10-15","A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"2020-10-15","A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"2020-10-15","A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"2020-10-15","A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"2020-10-15","A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"2020-10-15","A.S. PONTEVEDRA E O SALNÉS","50-59","2","8%"
"2020-10-15","A.S. PONTEVEDRA E O SALNÉS","60-69","7","28%"
"2020-10-15","A.S. PONTEVEDRA E O SALNÉS","70-79","5","20%"
"2020-10-15","A.S. PONTEVEDRA E O SALNÉS","80-89","10","40%"
"2020-10-15","A.S. PONTEVEDRA E O SALNÉS",">=90","1","4%"
"2020-10-15","A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"2020-10-15","A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"2020-10-15","A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"2020-10-15","A.S. SANTIAGO E BARBANZA","30-39","1","0,81%"
"2020-10-15","A.S. SANTIAGO E BARBANZA","40-49","1","0,81%"
"2020-10-15","A.S. SANTIAGO E BARBANZA","50-59","3","2,44%"
"2020-10-15","A.S. SANTIAGO E BARBANZA","60-69","7","5,69%"
"2020-10-15","A.S. SANTIAGO E BARBANZA","70-79","21","17,07%"
"2020-10-15","A.S. SANTIAGO E BARBANZA","80-89","64","52,03%"
"2020-10-15","A.S. SANTIAGO E BARBANZA",">=90","26","21,14%"
"2020-10-15","A.S. VIGO","0-9","0","0%"
"2020-10-15","A.S. VIGO","10-19","0","0%"
"2020-10-15","A.S. VIGO","20-29","0","0%"
"2020-10-15","A.S. VIGO","30-39","0","0%"
"2020-10-15","A.S. VIGO","40-49","0","0%"
"2020-10-15","A.S. VIGO","50-59","6","4,35%"
"2020-10-15","A.S. VIGO","60-69","3","2,17%"
"2020-10-15","A.S. VIGO","70-79","26","18,84%"
"2020-10-15","A.S. VIGO","80-89","59","42,75%"
"2020-10-15","A.S. VIGO",">=90","44","31,88%"
"2020-10-16","GALICIA","0-9","0","0%"
"2020-10-16","GALICIA","10-19","0","0%"
"2020-10-16","GALICIA","20-29","0","0%"
"2020-10-16","GALICIA","30-39","2","0,25%"
"2020-10-16","GALICIA","40-49","2","0,25%"
"2020-10-16","GALICIA","50-59","25","3,07%"
"2020-10-16","GALICIA","60-69","50","6,13%"
"2020-10-16","GALICIA","70-79","150","18,4%"
"2020-10-16","GALICIA","80-89","367","45,03%"
"2020-10-16","GALICIA",">=90","219","26,87%"
"2020-10-16","A.S. A CORUÑA E CEE","0-9","0","0%"
"2020-10-16","A.S. A CORUÑA E CEE","10-19","0","0%"
"2020-10-16","A.S. A CORUÑA E CEE","20-29","0","0%"
"2020-10-16","A.S. A CORUÑA E CEE","30-39","1","0,47%"
"2020-10-16","A.S. A CORUÑA E CEE","40-49","1","0,47%"
"2020-10-16","A.S. A CORUÑA E CEE","50-59","7","3,29%"
"2020-10-16","A.S. A CORUÑA E CEE","60-69","17","7,98%"
"2020-10-16","A.S. A CORUÑA E CEE","70-79","47","22,07%"
"2020-10-16","A.S. A CORUÑA E CEE","80-89","88","41,31%"
"2020-10-16","A.S. A CORUÑA E CEE",">=90","52","24,41%"
"2020-10-16","A.S. FERROL","0-9","0","0%"
"2020-10-16","A.S. FERROL","10-19","0","0%"
"2020-10-16","A.S. FERROL","20-29","0","0%"
"2020-10-16","A.S. FERROL","30-39","0","0%"
"2020-10-16","A.S. FERROL","40-49","0","0%"
"2020-10-16","A.S. FERROL","50-59","0","0%"
"2020-10-16","A.S. FERROL","60-69","3","8,82%"
"2020-10-16","A.S. FERROL","70-79","10","29,41%"
"2020-10-16","A.S. FERROL","80-89","14","41,18%"
"2020-10-16","A.S. FERROL",">=90","7","20,59%"
"2020-10-16","A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"2020-10-16","A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"2020-10-16","A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"2020-10-16","A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"2020-10-16","A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"2020-10-16","A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","1,09%"
"2020-10-16","A.S. LUGO, A MARIÑA E MONFORTE","60-69","6","6,52%"
"2020-10-16","A.S. LUGO, A MARIÑA E MONFORTE","70-79","16","17,39%"
"2020-10-16","A.S. LUGO, A MARIÑA E MONFORTE","80-89","43","46,74%"
"2020-10-16","A.S. LUGO, A MARIÑA E MONFORTE",">=90","26","28,26%"
"2020-10-16","A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"2020-10-16","A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"2020-10-16","A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"2020-10-16","A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"2020-10-16","A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"2020-10-16","A.S. OURENSE, VERÍN E O BARCO","50-59","6","3,17%"
"2020-10-16","A.S. OURENSE, VERÍN E O BARCO","60-69","7","3,7%"
"2020-10-16","A.S. OURENSE, VERÍN E O BARCO","70-79","25","13,23%"
"2020-10-16","A.S. OURENSE, VERÍN E O BARCO","80-89","88","46,56%"
"2020-10-16","A.S. OURENSE, VERÍN E O BARCO",">=90","63","33,33%"
"2020-10-16","A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"2020-10-16","A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"2020-10-16","A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"2020-10-16","A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"2020-10-16","A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"2020-10-16","A.S. PONTEVEDRA E O SALNÉS","50-59","2","8%"
"2020-10-16","A.S. PONTEVEDRA E O SALNÉS","60-69","7","28%"
"2020-10-16","A.S. PONTEVEDRA E O SALNÉS","70-79","5","20%"
"2020-10-16","A.S. PONTEVEDRA E O SALNÉS","80-89","10","40%"
"2020-10-16","A.S. PONTEVEDRA E O SALNÉS",">=90","1","4%"
"2020-10-16","A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"2020-10-16","A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"2020-10-16","A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"2020-10-16","A.S. SANTIAGO E BARBANZA","30-39","1","0,81%"
"2020-10-16","A.S. SANTIAGO E BARBANZA","40-49","1","0,81%"
"2020-10-16","A.S. SANTIAGO E BARBANZA","50-59","3","2,44%"
"2020-10-16","A.S. SANTIAGO E BARBANZA","60-69","7","5,69%"
"2020-10-16","A.S. SANTIAGO E BARBANZA","70-79","21","17,07%"
"2020-10-16","A.S. SANTIAGO E BARBANZA","80-89","64","52,03%"
"2020-10-16","A.S. SANTIAGO E BARBANZA",">=90","26","21,14%"
"2020-10-16","A.S. VIGO","0-9","0","0%"
"2020-10-16","A.S. VIGO","10-19","0","0%"
"2020-10-16","A.S. VIGO","20-29","0","0%"
"2020-10-16","A.S. VIGO","30-39","0","0%"
"2020-10-16","A.S. VIGO","40-49","0","0%"
"2020-10-16","A.S. VIGO","50-59","6","4,32%"
"2020-10-16","A.S. VIGO","60-69","3","2,16%"
"2020-10-16","A.S. VIGO","70-79","26","18,71%"
"2020-10-16","A.S. VIGO","80-89","60","43,17%"
"2020-10-16","A.S. VIGO",">=90","44","31,65%"
"2020-10-17","GALICIA","0-9","0","0%"
"2020-10-17","GALICIA","10-19","0","0%"
"2020-10-17","GALICIA","20-29","0","0%"
"2020-10-17","GALICIA","30-39","2","0,24%"
"2020-10-17","GALICIA","40-49","2","0,24%"
"2020-10-17","GALICIA","50-59","25","3,06%"
"2020-10-17","GALICIA","60-69","50","6,11%"
"2020-10-17","GALICIA","70-79","150","18,34%"
"2020-10-17","GALICIA","80-89","370","45,23%"
"2020-10-17","GALICIA",">=90","219","26,77%"
"2020-10-17","A.S. A CORUÑA E CEE","0-9","0","0%"
"2020-10-17","A.S. A CORUÑA E CEE","10-19","0","0%"
"2020-10-17","A.S. A CORUÑA E CEE","20-29","0","0%"
"2020-10-17","A.S. A CORUÑA E CEE","30-39","1","0,47%"
"2020-10-17","A.S. A CORUÑA E CEE","40-49","1","0,47%"
"2020-10-17","A.S. A CORUÑA E CEE","50-59","7","3,27%"
"2020-10-17","A.S. A CORUÑA E CEE","60-69","17","7,94%"
"2020-10-17","A.S. A CORUÑA E CEE","70-79","47","21,96%"
"2020-10-17","A.S. A CORUÑA E CEE","80-89","89","41,59%"
"2020-10-17","A.S. A CORUÑA E CEE",">=90","52","24,3%"
"2020-10-17","A.S. FERROL","0-9","0","0%"
"2020-10-17","A.S. FERROL","10-19","0","0%"
"2020-10-17","A.S. FERROL","20-29","0","0%"
"2020-10-17","A.S. FERROL","30-39","0","0%"
"2020-10-17","A.S. FERROL","40-49","0","0%"
"2020-10-17","A.S. FERROL","50-59","0","0%"
"2020-10-17","A.S. FERROL","60-69","3","8,57%"
"2020-10-17","A.S. FERROL","70-79","10","28,57%"
"2020-10-17","A.S. FERROL","80-89","15","42,86%"
"2020-10-17","A.S. FERROL",">=90","7","20%"
"2020-10-17","A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"2020-10-17","A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"2020-10-17","A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"2020-10-17","A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"2020-10-17","A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"2020-10-17","A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","1,09%"
"2020-10-17","A.S. LUGO, A MARIÑA E MONFORTE","60-69","6","6,52%"
"2020-10-17","A.S. LUGO, A MARIÑA E MONFORTE","70-79","16","17,39%"
"2020-10-17","A.S. LUGO, A MARIÑA E MONFORTE","80-89","43","46,74%"
"2020-10-17","A.S. LUGO, A MARIÑA E MONFORTE",">=90","26","28,26%"
"2020-10-17","A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"2020-10-17","A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"2020-10-17","A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"2020-10-17","A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"2020-10-17","A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"2020-10-17","A.S. OURENSE, VERÍN E O BARCO","50-59","6","3,16%"
"2020-10-17","A.S. OURENSE, VERÍN E O BARCO","60-69","7","3,68%"
"2020-10-17","A.S. OURENSE, VERÍN E O BARCO","70-79","25","13,16%"
"2020-10-17","A.S. OURENSE, VERÍN E O BARCO","80-89","89","46,84%"
"2020-10-17","A.S. OURENSE, VERÍN E O BARCO",">=90","63","33,16%"
"2020-10-17","A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"2020-10-17","A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"2020-10-17","A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"2020-10-17","A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"2020-10-17","A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"2020-10-17","A.S. PONTEVEDRA E O SALNÉS","50-59","2","8%"
"2020-10-17","A.S. PONTEVEDRA E O SALNÉS","60-69","7","28%"
"2020-10-17","A.S. PONTEVEDRA E O SALNÉS","70-79","5","20%"
"2020-10-17","A.S. PONTEVEDRA E O SALNÉS","80-89","10","40%"
"2020-10-17","A.S. PONTEVEDRA E O SALNÉS",">=90","1","4%"
"2020-10-17","A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"2020-10-17","A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"2020-10-17","A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"2020-10-17","A.S. SANTIAGO E BARBANZA","30-39","1","0,81%"
"2020-10-17","A.S. SANTIAGO E BARBANZA","40-49","1","0,81%"
"2020-10-17","A.S. SANTIAGO E BARBANZA","50-59","3","2,44%"
"2020-10-17","A.S. SANTIAGO E BARBANZA","60-69","7","5,69%"
"2020-10-17","A.S. SANTIAGO E BARBANZA","70-79","21","17,07%"
"2020-10-17","A.S. SANTIAGO E BARBANZA","80-89","64","52,03%"
"2020-10-17","A.S. SANTIAGO E BARBANZA",">=90","26","21,14%"
"2020-10-17","A.S. VIGO","0-9","0","0%"
"2020-10-17","A.S. VIGO","10-19","0","0%"
"2020-10-17","A.S. VIGO","20-29","0","0%"
"2020-10-17","A.S. VIGO","30-39","0","0%"
"2020-10-17","A.S. VIGO","40-49","0","0%"
"2020-10-17","A.S. VIGO","50-59","6","4,32%"
"2020-10-17","A.S. VIGO","60-69","3","2,16%"
"2020-10-17","A.S. VIGO","70-79","26","18,71%"
"2020-10-17","A.S. VIGO","80-89","60","43,17%"
"2020-10-17","A.S. VIGO",">=90","44","31,65%"
"2020-10-18","GALICIA","0-9","0","0%"
"2020-10-18","GALICIA","10-19","0","0%"
"2020-10-18","GALICIA","20-29","0","0%"
"2020-10-18","GALICIA","30-39","2","0,24%"
"2020-10-18","GALICIA","40-49","2","0,24%"
"2020-10-18","GALICIA","50-59","25","3,04%"
"2020-10-18","GALICIA","60-69","50","6,08%"
"2020-10-18","GALICIA","70-79","152","18,49%"
"2020-10-18","GALICIA","80-89","372","45,26%"
"2020-10-18","GALICIA",">=90","219","26,64%"
"2020-10-18","A.S. A CORUÑA E CEE","0-9","0","0%"
"2020-10-18","A.S. A CORUÑA E CEE","10-19","0","0%"
"2020-10-18","A.S. A CORUÑA E CEE","20-29","0","0%"
"2020-10-18","A.S. A CORUÑA E CEE","30-39","1","0,47%"
"2020-10-18","A.S. A CORUÑA E CEE","40-49","1","0,47%"
"2020-10-18","A.S. A CORUÑA E CEE","50-59","7","3,27%"
"2020-10-18","A.S. A CORUÑA E CEE","60-69","17","7,94%"
"2020-10-18","A.S. A CORUÑA E CEE","70-79","47","21,96%"
"2020-10-18","A.S. A CORUÑA E CEE","80-89","89","41,59%"
"2020-10-18","A.S. A CORUÑA E CEE",">=90","52","24,3%"
"2020-10-18","A.S. FERROL","0-9","0","0%"
"2020-10-18","A.S. FERROL","10-19","0","0%"
"2020-10-18","A.S. FERROL","20-29","0","0%"
"2020-10-18","A.S. FERROL","30-39","0","0%"
"2020-10-18","A.S. FERROL","40-49","0","0%"
"2020-10-18","A.S. FERROL","50-59","0","0%"
"2020-10-18","A.S. FERROL","60-69","3","8,57%"
"2020-10-18","A.S. FERROL","70-79","10","28,57%"
"2020-10-18","A.S. FERROL","80-89","15","42,86%"
"2020-10-18","A.S. FERROL",">=90","7","20%"
"2020-10-18","A.S. LUGO, A MARIÑA E MONFORTE","0-9","0","0%"
"2020-10-18","A.S. LUGO, A MARIÑA E MONFORTE","10-19","0","0%"
"2020-10-18","A.S. LUGO, A MARIÑA E MONFORTE","20-29","0","0%"
"2020-10-18","A.S. LUGO, A MARIÑA E MONFORTE","30-39","0","0%"
"2020-10-18","A.S. LUGO, A MARIÑA E MONFORTE","40-49","0","0%"
"2020-10-18","A.S. LUGO, A MARIÑA E MONFORTE","50-59","1","1,09%"
"2020-10-18","A.S. LUGO, A MARIÑA E MONFORTE","60-69","6","6,52%"
"2020-10-18","A.S. LUGO, A MARIÑA E MONFORTE","70-79","16","17,39%"
"2020-10-18","A.S. LUGO, A MARIÑA E MONFORTE","80-89","43","46,74%"
"2020-10-18","A.S. LUGO, A MARIÑA E MONFORTE",">=90","26","28,26%"
"2020-10-18","A.S. OURENSE, VERÍN E O BARCO","0-9","0","0%"
"2020-10-18","A.S. OURENSE, VERÍN E O BARCO","10-19","0","0%"
"2020-10-18","A.S. OURENSE, VERÍN E O BARCO","20-29","0","0%"
"2020-10-18","A.S. OURENSE, VERÍN E O BARCO","30-39","0","0%"
"2020-10-18","A.S. OURENSE, VERÍN E O BARCO","40-49","0","0%"
"2020-10-18","A.S. OURENSE, VERÍN E O BARCO","50-59","6","3,11%"
"2020-10-18","A.S. OURENSE, VERÍN E O BARCO","60-69","7","3,63%"
"2020-10-18","A.S. OURENSE, VERÍN E O BARCO","70-79","26","13,47%"
"2020-10-18","A.S. OURENSE, VERÍN E O BARCO","80-89","91","47,15%"
"2020-10-18","A.S. OURENSE, VERÍN E O BARCO",">=90","63","32,64%"
"2020-10-18","A.S. PONTEVEDRA E O SALNÉS","0-9","0","0%"
"2020-10-18","A.S. PONTEVEDRA E O SALNÉS","10-19","0","0%"
"2020-10-18","A.S. PONTEVEDRA E O SALNÉS","20-29","0","0%"
"2020-10-18","A.S. PONTEVEDRA E O SALNÉS","30-39","0","0%"
"2020-10-18","A.S. PONTEVEDRA E O SALNÉS","40-49","0","0%"
"2020-10-18","A.S. PONTEVEDRA E O SALNÉS","50-59","2","8%"
"2020-10-18","A.S. PONTEVEDRA E O SALNÉS","60-69","7","28%"
"2020-10-18","A.S. PONTEVEDRA E O SALNÉS","70-79","5","20%"
"2020-10-18","A.S. PONTEVEDRA E O SALNÉS","80-89","10","40%"
"2020-10-18","A.S. PONTEVEDRA E O SALNÉS",">=90","1","4%"
"2020-10-18","A.S. SANTIAGO E BARBANZA","0-9","0","0%"
"2020-10-18","A.S. SANTIAGO E BARBANZA","10-19","0","0%"
"2020-10-18","A.S. SANTIAGO E BARBANZA","20-29","0","0%"
"2020-10-18","A.S. SANTIAGO E BARBANZA","30-39","1","0,81%"
"2020-10-18","A.S. SANTIAGO E BARBANZA","40-49","1","0,81%"
"2020-10-18","A.S. SANTIAGO E BARBANZA","50-59","3","2,42%"
"2020-10-18","A.S. SANTIAGO E BARBANZA","60-69","7","5,65%"
"2020-10-18","A.S. SANTIAGO E BARBANZA","70-79","22","17,74%"
"2020-10-18","A.S. SANTIAGO E BARBANZA","80-89","64","51,61%"
"2020-10-18","A.S. SANTIAGO E BARBANZA",">=90","26","20,97%"
"2020-10-18","A.S. VIGO","0-9","0","0%"
"2020-10-18","A.S. VIGO","10-19","0","0%"
"2020-10-18","A.S. VIGO","20-29","0","0%"
"2020-10-18","A.S. VIGO","30-39","0","0%"
"2020-10-18","A.S. VIGO","40-49","0","0%"
"2020-10-18","A.S. VIGO","50-59","6","4,32%"
"2020-10-18","A.S. VIGO","60-69","3","2,16%"
"2020-10-18","A.S. VIGO","70-79","26","18,71%"
"2020-10-18","A.S. VIGO","80-89","60","43,17%"
"2020-10-18","A.S. VIGO",">=90","44","31,65%"
