Fecha,Lugo.domicilio,Lugos.hospitalizados,Lugo.uci,Lugo.PCR.acum,Lugo.serologicas.acum
2020-03-11,,,,,
2020-03-12,,,,,
2020-03-13,,,,,
2020-03-14,,,,,
2020-03-15,,,,,
2020-03-16,,,,,
2020-03-17,,,,,
2020-03-18,,,,,
2020-03-19,,,,,
2020-03-20,,,,,
2020-03-21,,,,,
2020-03-22,,,,,
2020-03-23,,,,,
2020-03-24,,,,,
2020-03-25,,,,,
2020-03-26,,,,,
2020-03-27,,,,,
2020-03-28,,,,,
2020-03-29,,,,,
2020-03-30,,,,,
2020-03-31,,,,,
2020-04-01,,,,,
2020-04-02,,,,,
2020-04-03,,,,,
2020-04-04,,,,,
2020-04-05,,,,,
2020-04-06,,,,,
2020-04-07,,,,,
2020-04-08,,,,,
2020-04-09,,,,,
2020-04-10,,,,,
2020-04-11,,,,,
2020-04-12,,,,,
2020-04-13,,,,,
2020-04-14,,,,,
2020-04-15,,,,,
2020-04-16,,,,,
2020-04-17,,,,,
2020-04-18,,,,,
2020-04-19,,,,,
2020-04-20,,,,,
2020-04-21,,,,,
2020-04-22,,,,,
2020-04-23,,,,,
2020-04-24,,,,,
2020-04-25,,,,,
2020-04-26,,,,,
2020-04-27,,,,,
2020-04-28,,,,,
2020-04-29,,,,,
2020-04-30,,,,,
2020-05-01,,,,,
2020-05-02,,,,,
2020-05-03,,,,,
2020-05-04,,,,,
2020-05-05,,,,,
2020-05-06,,,,,
2020-05-07,,,,,
2020-05-08,,,,,
2020-05-09,,,,,
2020-05-10,,,,,
2020-05-11,,,,,
2020-05-12,,,,,
2020-05-13,,,,,
2020-05-14,,,,,
2020-05-15,,,,,
2020-05-16,,,,,
2020-05-17,,,,,
2020-05-18,,,,,
2020-05-19,,,,,
2020-05-20,,,,,
2020-05-21,,,,,
2020-05-22,,,,,
2020-05-23,,,,,
2020-05-24,,,,,
2020-05-25,,,,,
2020-05-26,,,,,
2020-05-27,,,,,
2020-05-28,,,,,
2020-05-29,,,,,
2020-05-30,,,,,
2020-05-31,,,,,
2020-06-01,,,,,
2020-06-02,,,,,
2020-06-03,,,,,
2020-06-04,37,1,0,,
2020-06-05,35,2,0,16203,
2020-06-06,32,1,0,16345,
2020-06-07,29,1,0,16435,
2020-06-08,29,1,0,16515,
2020-06-09,30,1,0,16537,
2020-06-10,30,1,0,16656,
2020-06-11,90,2,0,16791,
2020-06-12,21,1,0,16880,
2020-06-13,21,1,0,16971,
2020-06-14,19,2,0,17071,
2020-06-15,18,2,0,17126,
2020-06-16,17,2,0,17161,
2020-06-17,15,2,0,17267,
2020-06-18,17,1,0,17389,
2020-06-19,16,1,0,17488,
2020-06-20,16,1,0,17569,
2020-06-21,16,1,0,17686,
2020-06-22,16,1,0,17745,
2020-06-23,16,1,0,17789,
2020-06-24,16,1,0,17876,
2020-06-25,25,2,0,18380,
2020-06-26,29,2,0,18848,
2020-06-27,32,2,0,19740,
2020-06-28,37,2,0,19914,
2020-06-29,42,2,0,20657,
2020-06-30,47,2,0,21063,
2020-07-01,50,2,0,21619,
2020-07-02,61,3,0,22119,
2020-07-03,74,3,0,22485,
2020-07-04,84,3,0,22999,
2020-07-05,138,5,0,23406,
2020-07-06,138,5,0,24131,
2020-07-07,145,6,0,24248,
2020-07-08,160,6,0,24763,
2020-07-09,184,6,0,25056,
2020-07-10,190,6,0,25470,
2020-07-11,201,2,0,25745,
2020-07-12,197,2,0,26429,
2020-07-13,198,2,0,26642,
2020-07-14,181,2,0,26943,
2020-07-15,169,2,0,27139,
2020-07-16,156,4,0,27516,
2020-07-17,155,5,0,28045,
2020-07-18,144,4,0,28392,
2020-07-19,135,4,0,28746,
2020-07-20,132,4,0,28982,
2020-07-21,102,4,0,29084,
2020-07-22,94,4,0,29339,
2020-07-23,71,3,0,29632,
2020-07-24,75,5,0,29863,
2020-07-25,76,4,0,30023,
2020-07-26,82,3,0,30332,
2020-07-27,87,3,0,30400,
2020-07-28,84,1,0,30467,
2020-07-29,79,1,0,30660,
2020-07-30,78,2,0,30859,
2020-07-31,76,4,0,31021,
2020-08-01,70,4,0,31153,
2020-08-02,67,3,0,31302,
2020-08-03,68,3,0,31421,
2020-08-04,68,3,0,31493,
2020-08-05,71,3,0,31674,
2020-08-06,70,3,0,31880,
2020-08-07,69,3,0,32074,
2020-08-08,76,3,0,32248,
2020-08-09,71,4,0,32403,
2020-08-10,72,3,0,32520,
2020-08-11,77,3,0,32610,
2020-08-12,80,4,0,32899,
2020-08-13,89,4,0,33177,
2020-08-14,95,4,0,33528,
2020-08-15,100,4,0,33895,
2020-08-16,105,5,1,34092,
2020-08-17,105,5,1,34261,
2020-08-18,108,5,2,34376,
2020-08-19,131,5,1,34658,
2020-08-20,164,6,1,35013,
2020-08-21,251,5,1,35617,
2020-08-22,274,4,1,36057,
2020-08-23,299,5,1,36496,
2020-08-24,316,5,1,36763,
2020-08-25,346,6,2,37001,
2020-08-26,429,12,2,37529,
2020-08-27,471,11,2,38029,
2020-08-28,536,11,2,38714,
2020-08-29,587,17,3,39479,
2020-08-30,654,21,3,40188,
2020-08-31,701,30,3,40922,
2020-09-01,724,35,4,41690,
2020-09-02,750,39,3,42294,
2020-09-03,763,35,2,42992,
2020-09-04,752,47,3,43488,
2020-09-05,747,57,4,44151,
2020-09-06,752,58,4,44667,
2020-09-07,756,60,5,45083,
2020-09-08,747,54,4,45486,
2020-09-09,857,67,5,46149,
2020-09-10,828,66,3,46826,
2020-09-11,786,69,4,47323,
2020-09-12,782,68,5,48232,
2020-09-13,748,66,3,49023,
2020-09-14,731,64,3,49408,
2020-09-15,712,61,4,49703,
2020-09-16,720,61,4,50196,
2020-09-17,715,59,3,50836,
2020-09-18,691,55,3,51419,
2020-09-19,690,55,3,51986,
2020-09-20,673,55,3,52521,
2020-09-21,632,57,4,52817,
2020-09-22,628,59,4,53094,
2020-09-23,628,51,4,53633,
2020-09-24,591,50,5,54070,
2020-09-25,581,49,5,54751,
2020-09-26,597,45,7,55508,
2020-09-27,550,39,7,56105,
2020-09-28,514,38,6,56655,
2020-09-29,499,40,5,56948,
2020-09-30,502,35,5,57510,
2020-10-01,492,32,4,57993,
2020-10-02,499,27,5,58607,
2020-10-03,476,27,5,59315,
2020-10-04,464,30,5,60081,
2020-10-05,461,34,5,60578,
2020-10-06,461,32,5,61100,
2020-10-07,455,31,5,61967,
2020-10-08,454,29,5,63536,59414
2020-10-09,463,31,5,63996,60103
2020-10-10,441,25,5,64646,60692
2020-10-11,435,27,5,65045,60715
2020-10-12,431,29,5,65437,60722
2020-10-13,447,30,5,65823,60815
2020-10-14,444,31,5,66165,61459
2020-10-15,437,30,6,66552,62435
2020-10-16,451,24,5,67156,63189
2020-10-17,404,21,3,67677,64116
2020-10-18,429,21,3,68343,64347
2020-10-19,461,22,3,68842,64362
2020-10-20,476,21,3,69400,64881
2020-10-21,499,19,3,70070,65422
2020-10-22,525,17,1,70813,65917
2020-10-23,533,22,2,71656,66210
2020-10-24,592,24,1,72668,66283
2020-10-25,624,27,2,73481,66310
2020-10-26,640,33,2,74225,66348
2020-10-27,659,32,2,74727,66422
2020-10-28,711,32,2,75740,66598
2020-10-29,743,39,5,76546,67897
2020-10-30,764,37,2,77571,68001
2020-10-31,859,35,3,79179,68086
2020-11-01,949,37,4,80056,68134
2020-11-02,945,38,5,80754,68168
2020-11-03,922,41,5,81398,68255
2020-11-04,974,42,5,82133,68328
2020-11-05,1001,48,5,83071,68386
2020-11-06,1056,53,5,84131,68584
2020-11-07,1107,50,4,85073,68905
2020-11-08,1076,51,4,85923,69028
2020-11-09,1058,58,4,86836,69059
2020-11-10,1085,63,4,87421,69174
2020-11-11,1070,59,5,88076,69279
2020-11-12,1006,58,3,88960,69392
2020-11-13,1000,53,6,89771,69485
2020-11-14,1058,51,6,90779,69584
2020-11-15,1005,57,6,91726,69622
2020-11-16,983,59,5,92669,69660
2020-11-17,1012,59,6,93491,69808
2020-11-18,1041,59,5,94225,70007
2020-11-19,1022,50,5,95009,70291
2020-11-20,1147,47,5,95854,70621
2020-11-21,1089,50,5,96613,70746
2020-11-22,1069,48,7,97239,70780
2020-11-23,1049,48,7,98051,70811
2020-11-24,1061,47,7,98774,71032
2020-11-25,1059,43,8,99387,71375
2020-11-26,1047,38,7,100060,71660
2020-11-27,1024,36,6,100725,71796
2020-11-28,1029,36,4,101472,71915
2020-11-29,928,39,4,102384,71947
2020-11-30,907,44,4,103102,71982
2020-12-01,894,41,3,103748,72098
2020-12-02,879,32,2,104467,72196
2020-12-03,855,30,2,105040,72294
2020-12-04,830,28,2,105746,72394
2020-12-05,802,27,1,106206,72531
2020-12-06,756,32,1,106669,72582
2020-12-07,740,31,1,107103,72614
2020-12-08,599,25,2,107557,72701
2020-12-09,576,30,3,108268,72750
2020-12-10,560,31,4,109134,72849
2020-12-11,544,27,4,110098,72957
2020-12-12,516,29,4,111111,73078
2020-12-13,472,26,4,112035,73124
2020-12-14,459,27,6,113015,73167
2020-12-15,444,26,6,113810,73279
2020-12-16,438,24,6,114614,73395
2020-12-17,410,23,5,115604,73515
2020-12-18,378,23,6,116220,73640
2020-12-19,385,19,7,116998,73772
2020-12-20,352,19,6,117917,73856
2020-12-21,349,20,6,118424,73917
2020-12-22,342,18,4,118742,74027
2020-12-23,343,13,4,119586,74133
2020-12-24,357,13,3,120792,74228
2020-12-25,369,13,3,121740,74356
2020-12-26,367,14,4,122144,74395
2020-12-27,361,13,4,122460,74455
2020-12-28,383,14,3,123071,74519
2020-12-29,384,13,3,123460,74626
2020-12-30,416,14,2,124244,74737
2020-12-31,426,18,2,125028,74843
2021-01-01,448,15,2,125659,74958
2021-01-02,459,16,2,126196,75004
2021-01-03,465,18,2,126441,75074
